c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,tipo_municipio_isla_rea_no,categoria_municipio,comisarias_ley_2126_100_000,existencia_de_comisarias,nombre_comisaria,direcci_n_comisara,telefono_de_contacto,horario_de_atenci_n,longitud_de_ubicaci_n_de,latitud_de_ubicaci_n_de_la,coordenadas_de_ubicaci_n,fuente
15,BOYACA,15696,SANTA SOFIA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SANTA SOFÍA BOYACÁ,CALLE 5 # 3-54,3114937845,Lunes a Viernes de   8:00 A.M A 12:00 Y DE 2:00 P.M A 6:00 P.M,-73602250,5713917,"5°42'50.1""N 73°36'08.1""W",Directorio Comisarias Ley 2126
15,BOYACA,15720,SATIVANORTE,Municipio,6,1,1,COMISARÍA DE FAMILIA MUNICIPIO DE SATIVANORTE  BOYACÁ,CARRERA 3 # 7-12 CASA DE LA CULTURA,3142197460,"Lunes 8am-12m 2pm-6pm, martes 8am-12m 1pm-6pm, miércoles 8am-12m 2pm-6pm, jueves 8am-12m 2pm-6pm, viernes 8am-12m 1pm-4pm",-72707472,6131694,"6°07'54.1""N 72°42'27.0""W",Directorio Comisarias Ley 2126
15,BOYACA,15723,SATIVASUR,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SATIVASUR BOYACÁ,Carrera 3 # 2-04 Palacio Municipal,3164509728,Lunes a Jueves de  08:00 A.M. A 12:30 PM y de 02:00 PM A 06:00 PM Viernes de  07:00 AM A 01:00 PM,-72713361,6093194,"6°05'35.5""N 72°42'48.1""W",Directorio Comisarias Ley 2126
15,BOYACA,15740,SIACHOQUE,Municipio,6,1,1,COMISARÍA DE FAMILIA SIACHOQUE BOYACÁ,CARRERA  6 # 3-41,3152820650,Lunes a Viernes de  8: 00 AM    A  5:30,-73245361,5513333,"5°30'48.0""N 73°14'43.3""W",Directorio Comisarias Ley 2126
15,BOYACA,15753,SOATA,Municipio,6,1,1,COMISARÍA DE FAMILIA ÚNICA DE SOATÁ BOYACÁ,CARRERA 4 #10-75,3184307350,Lunes a Viernes de  8.00 AM  - 12M  Y DE 2P.M A 5 P.M  Y SABADOS DE 8 AM  A 1 P.M,-72680944,6335500,"6°20'07.8""N 72°40'51.4""W",Directorio Comisarias Ley 2126
15,BOYACA,15755,SOCOTA,Municipio,6,1,1,COMISARÍA DE FAMILIA ÚNICA  DE SOCOTÁ BOYACÁ,Carrera 3 # 2-78 PARQUE PRINCIPAL,3213498464,LUNES A JUEVES DE 8:00A.M A 12:00M y de 2:00P.M A 6:00P.M   Y  DOMINGO DE 8:00A.M A 1:00P.M,-72636810,6039770,"6°02'23.2""N 72°38'12.5""W",Directorio Comisarias Ley 2126
15,BOYACA,15757,SOCHA,Municipio,6,1,1,COMISARÍA DE FAMILIA SOCHA BOYACÁ,Calle 4 # 9-26,3203872637,Lunes a Viernes 8-12  2-5 Sabado 8-12,-72692324,5997974,"5°59'52.7""N 72°41'32.4""W",Directorio Comisarias Ley 2126
15,BOYACA,15761,SOMONDOCO,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SOMONDOCO BOYACÁ,Calle 5a # 3 - 14,3024685457,Lunes a Viernes 8:00 a.m. a 12:00pm y de 1:00 p.m. a 5:00 p.m.,-73431579,4985939,"4°59'09.4""N 73°25'53.7""W",Directorio Comisarias Ley 2126
15,BOYACA,15762,SORA,Municipio,6,1,1,COMISARÍA DE FAMILIA DEL MUNICIPIO DE SORA BOYACÁ,Calle 3 # 2-35,3202637034 / 3103122678,Lunes a Viernes 8 a 1 pm  y  2 pm a  5 pm,-73449944,5565694,"5°33'56.5""N 73°26'59.8""W",Directorio Comisarias Ley 2126
15,BOYACA,15763,SOTAQUIRA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SOTAQUIRÁ BOYACÁ,CARRERA 7# 6- 64,3213577625,MARTES A VIERNES DE 08 AM A 5 PM Y SABADOS DE 08 AM A 1 PM,-73246969,5765499,"5°45'55.8""N 73°14'49.1""W",Directorio Comisarias Ley 2126
15,BOYACA,15764,SORACA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SORACÁ BOYACÁ,CARRERA 6# 4-56,3212314444,Lunes a Viernes 7:30 a 12:30  y de 2:00 p.m a 5:00 p.m  y un sabado en el mes de 8:00 a.m. hasta 12:00 del dia.,-73333784,5502000,"5°30'07.2""N 73°20'01.6""W",Directorio Comisarias Ley 2126
15,BOYACA,15774,SUSACON,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SUSACÓN BOYACÁ,Carrera 4 # 6 - 29,3112074633,LUNES A VIERNES 8:00 am A 6:00p.m - SABADO 8:00 A 1:00 p.m,-72690692,6230923,"6°13'51.3""N 72°41'26.5""W",Directorio Comisarias Ley 2126
